symbol,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score
1102.TW,2024-06-30,2024-08-14,18984772000.0,2853587000.0,1814767000.0,5013496000.0,1104095000.0,4243591000.0,1.27,124423684000.0,84680479000.0,342050103000.0,141055489000.0,200994614000.0,18026398000.0,28568724000.0,10083382000.0,32300000000.0,0.2202245698410849,1415110718.0632038,257369624000.0,0.0054983595036188,0.0211129587780894,0.0124063432894215,0.7017874070993763,0.150309258388776,0.095590666034862,0.2235260449796289,-0.1018004232872521,,,31.85420686778374
1102.TW,2024-09-30,2024-11-14,19953203000.0,2808555000.0,1928715000.0,2254279000.0,392203000.0,1896254000.0,0.57,113444327000.0,77548186000.0,328791597000.0,128053628000.0,200737969000.0,15151261000.0,25752596000.0,8386079000.0,28300000000.0,0.1739815701605702,1593154135.907756,251243411000.0,0.0063410782777016,0.0094464141958116,0.0057673432572548,0.6379143349806433,0.1407571005016087,0.0966619244038162,0.0950350678033997,0.0029809640140947,,,30.62141858377484
1102.TW,2024-12-31,2025-03-31,20859734000.0,3687918000.0,3196641000.0,5105957000.0,1039812000.0,3801828000.0,1.14,116609749000.0,79652998000.0,331827224000.0,126975540000.0,204851684000.0,13259732000.0,26488506000.0,8926787000.0,24200000000.0,0.2036468383889641,2545655166.885463,252174226000.0,0.0100948269268623,0.0185589296888572,0.0114572516208013,0.6198413287146812,0.1767960224229129,0.1532445715750737,0.1822567823731597,0.0459303139791471,,,43.88995059997866
1102.TW,2025-03-31,2025-05-15,16594707000.0,2372410000.0,1596150000.0,1760077000.0,373541000.0,1364290000.0,0.41,105584063000.0,86802096000.0,332490608000.0,131134045000.0,201356563000.0,16353804000.0,28085998000.0,6038583000.0,24200000000.0,0.212229919486477,1257399214.01166,245688512000.0,0.0051178592103307,0.0067754930838782,0.0041032437223008,0.6512528970808863,0.1429618492209594,0.0961842833380547,0.0822123584345297,0.0057550568948014,,,28.9957581482523
1102.TW,2025-06-30,2025-08-14,18665737000.0,3372700000.0,2596532000.0,3929696000.0,826301000.0,2929741000.0,0.88,102355154000.0,82033956000.0,314848750000.0,128651308000.0,186197442000.0,17272793000.0,25197664000.0,4179329000.0,28500000000.0,0.2102709726146755,2050556690.9348712,232814794000.0,0.0088076734974791,0.0157345931744862,0.0093052330682589,0.6909402547001693,0.1806893561181109,0.1391068565896969,0.1569582277945949,-0.0168047843819246,,,38.32128308796937
1102.TW,2025-09-30,2025-11-14,17888571000.0,2986132000.0,2415432000.0,4329539000.0,465061000.0,3791117000.0,1.13,94826165000.0,71858751000.0,317375202000.0,121052193000.0,196323009000.0,12967573000.0,24734089000.0,4161333000.0,31200000000.0,0.1074158241789714,2155976380.971739,245516451000.0,0.0087813927424836,0.0193106096901764,0.0119452212274606,0.6165970744672113,0.1669295999104679,0.1350265485152503,0.2119295610588459,-0.1034737129672864,,,36.74424448331365
1102.TW,2025-12-31,2026-03-31,17889514000.0,2507659000.0,1798073000.0,2493943000.0,633237000.0,1944675000.0,0.58,95233368000.0,59418487000.0,324040459000.0,120618599000.0,203421860000.0,12981458000.0,28680511000.0,10844999000.0,36700000000.0,0.2539099730827849,1341524332.9691176,264621972000.0,0.0050695878457481,0.0095598132865366,0.0060013339260206,0.5929480686097355,0.1401747973701242,0.1005098852881078,0.1087047417833709,-0.1423901186851184,,,27.14064025126469
1102.TW,2026-03-31,2026-05-15,14829491000.0,1928135000.0,1184173000.0,2141327000.0,350025000.0,1887022000.0,0.56,94593171000.0,73132379000.0,329731256000.0,128784897000.0,200946359000.0,15235953000.0,28787827000.0,4255757000.0,36700000000.0,0.1634617225673612,990606041.60224,256598877000.0,0.0038605236826591,0.0093906752498063,0.0057229090832687,0.6408919158371016,0.1300203088561839,0.0798525721482955,0.1272479277946896,-0.1063722306154607,,,24.23843577719405
1103.TW,2020-03-31,2020-05-15,495334000.0,-19483000.0,-158911000.0,-205735000.0,11236000.0,-210089000.0,-0.33,10260082000.0,3786079000.0,37064695000.0,15127483000.0,21937212000.0,2416061000.0,1311180000.0,7555168000.0,,0.0,-158911000.0,33278616000.0,-0.004775168534653,-0.0095768322793251,-0.0056681702088739,0.6895809276037447,-0.0393330560793323,-0.3208158535452846,-0.4241360375019684,,,,14.261846125902808
1103.TW,2020-06-30,2020-08-14,496985000.0,-3100000.0,-158560000.0,347772000.0,184047000.0,139876000.0,0.22,10357336000.0,3843033000.0,37805518000.0,15655708000.0,22149810000.0,2910925000.0,1351485000.0,8011502000.0,,0.4,-95136000.0,33962485000.0,-0.0028012084510306,0.0063149977358722,0.003699883175784,0.706810035842294,-0.0062376128052154,-0.3190438343209553,0.2814491383039729,,,,17.526608787431822
